region,type,amount,ind,date
23,0,6635.5,1,2017-09-01
23,0,6635.2,1,2017-10-01
17,0,6564.6,5,2018-06-01
23,0,6528.2,1,2017-11-01
23,0,6505.6,1,2017-08-01
17,0,6245.1,5,2018-05-01
17,0,6018.2,5,2017-10-01
17,0,5966.9,5,2017-12-01
17,0,5959.8,5,2018-04-01
375,6,5947.5,5,2018-07-01
17,0,5886.3,5,2017-09-01
17,0,5832.2,5,2017-08-01
17,0,5817.3,5,2018-01-01
17,0,5812.9,5,2018-02-01
17,0,5802.2,5,2018-03-01
375,6,5796.5,5,2018-06-01
17,0,5786.7,5,2017-11-01
375,6,5657.4,5,2018-05-01
375,6,5499.3,5,2018-01-01
375,6,5416,5,2018-04-01
375,6,5266.1,5,2018-02-01
375,6,5214.4,5,2017-12-01
375,6,5209.3,5,2017-10-01
375,6,5194.8,5,2017-11-01
375,6,5156.4,5,2018-03-01
21,0,5136.1,1,2018-02-01
375,6,5058.5,5,2017-09-01
375,6,5057.8,5,2017-08-01
21,0,5046.7,1,2018-03-01
21,0,5025.7,1,2018-06-01
21,0,5022,1,2018-07-01
21,0,5007.5,1,2018-04-01
21,0,4953.5,1,2018-05-01
23,4,4895.2,1,2018-04-01
21,0,4826.1,1,2018-01-01
21,0,4825.7,1,2017-12-01
23,4,4804.5,1,2018-05-01
23,4,4787,1,2018-06-01
170,6,4741.3,1,2018-01-01
21,0,4683.4,1,2017-11-01
23,4,4642.4,1,2018-02-01
23,0,4624.1,5,2018-06-01
23,4,4623.7,1,2018-07-01
23,0,4622.5,5,2018-05-01
375,4,4555.4,6,2018-05-01
23,4,4545.8,1,2018-03-01
23,0,4543.4,5,2018-07-01
23,0,4542.9,5,2018-04-01
170,6,4539.3,1,2018-07-01
21,0,4533.8,1,2017-08-01
170,6,4531.1,1,2017-12-01
375,4,4527.6,6,2018-04-01
375,4,4518.6,6,2018-07-01
21,0,4518,1,2017-10-01
23,4,4516.1,1,2018-01-01
21,0,4497.1,1,2017-09-01
375,4,4493,6,2018-06-01
375,4,4492,6,2018-03-01
15,0,4483.3,1,2018-07-01
23,0,4421.5,5,2018-03-01
15,0,4418.5,1,2018-06-01
23,0,4411,5,2018-01-01
22,0,4390.1,1,2018-07-01
170,6,4370.1,1,2017-10-01
170,6,4358.7,1,2017-11-01
375,4,4355,6,2018-02-01
23,0,4351.8,5,2018-02-01
22,0,4348.2,1,2018-06-01
17,4,4328.4,5,2018-07-01
15,0,4300.7,1,2018-04-01
22,0,4300.7,1,2018-03-01
375,8,4280.3,1,2017-10-01
375,8,4272.6,1,2017-11-01
375,8,4268.8,1,2017-12-01
22,0,4260.5,1,2018-05-01
